# Wayback Machine CDX index: medicarestatistics.humanservices.gov.au/SASStoredProcess/* , captures from 2025
# Query (retrieved 2026-09-25): https://web.archive.org/cdx/search/cdx?url=medicarestatistics.humanservices.gov.au/SASStoredProcess/&matchType=prefix&from=2025&fl=timestamp,statuscode,mimetype,original
# Note: no capture in this list has status 200 - every archived call ends in a redirect (302) or revisit (-).
# Columns: timestamp(UTC) status mimetype original-url
20260507224022 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?STAT=count&START_DT=202407&END_DT=202506&RPT_FMT=by+state&PTYPE=finyear&DRILL=ag&group=14224&_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&VAR=services
20251114003951 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&DRILL=ag&group=2712&VAR=services&STAT=count&RPT_FMT=by+state&PTYPE=finyear&START_DT=202407&END_DT=202506
20251114011032 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&DRILL=ag&group=2713&VAR=services&STAT=count&RPT_FMT=by+state&PTYPE=finyear&START_DT=202407&END_DT=202506
20251208134917 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&DRILL=ag&group=2713&VAR=services&STAT=count&RPT_FMT=by+state&PTYPE=finyear&START_DT=202407&END_DT=202506
20260505203314 302 unk http://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&DRILL=ag&group=3%2C23%2C36%2C44%2C123&VAR=services&STAT=count&RPT_FMT=by+state&PTYPE=calyear&START_DT=202501&END_DT=202601
20260505212343 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&DRILL=ag&group=3%2C23%2C36%2C44%2C123&VAR=services&STAT=count&RPT_FMT=by+state&PTYPE=calyear&START_DT=202501&END_DT=202601
20260505205527 302 unk http://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&DRILL=ag&group=3%2C23%2C36%2C
20260505234909 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&DRILL=ag&group=3%2C23%2C36%2C
20260505192756 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&DRILL=ag&group=3%2C23%2C36%2C44%2C123&VAR=services&STAT=count&RPT_FMT=by+state&PTYPE=cal
20260505194820 302 unk http://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fmbs_item_standard_report&DRILL=ag&group=3%2C23%2C36%2C44%2C123&VAR=services&STAT=count&RPT_FMT=by+state&PTYPE=cal
